Album ID,Artist IDs,Artist(s),ID,Popularity,Query,Rank,Release Date,Song,Year
5ErMAHjqmxLoQ5fJTcbVBk,['4PpmBoqphQusNFsxuVKb6j'],Paula Abdul,6Vx6TVui8rcatNrlAnUXPz,28.0,track:(It s Just) The Way That You Love Me artist:Paula Abdul,86.0,2000-01-01,(It s Just) The Way That You Love Me,1990.0
0nqoCBYGLD6BQ0OJ6MumZd,['5UNbx86AT5Yi5FZtDdlFLs'],The Reflections,7iSG8g8HVyGz8pgMD5cG6B,30.0,track:(Just Like) Romeo and Juliet artist:The Reflections,65.0,2004-03-01,(Just Like) Romeo and Juliet,1964.0
15q7N7Wo307mfjqR29NpjF,['4x1nvY2FN8jxqAFA0DA02H'],John Lennon,5y0YreEOnQiKFAnCrcFIXz,60.0,track:(Just Like) Starting Over artist:John Lennon,4.0,1980-11-17,(Just Like) Starting Over,1981.0
410corLJsB6WHRWedbo4wg,['1aX2dmV8XoHYCOQRxjPESG'],The Human League,2cJ6gbYGW5e8mUnhaqQ0jz,24.0,track:(Keep Feeling) Fascination artist:The Human League,33.0,1981-01-01,(Keep Feeling) Fascination,1983.0
79u80xZhib9Xr523whX9rU,['1UUYAQ9LiRsZF0ZukQNWXM'],The 5th Dimension,00nCUS4wDMiWZqmpDj1b1S,44.0,track:(Last Night) I Didn t Get to Sleep at All artist:The 5th Dimension,31.0,1972-01-01,(Last Night) I Didn t Get to Sleep at All,1972.0
3yBKvLLgqZfNTNtoUnq0Uf,['4YPqbAiLzBg5DIfsgQZ8QK'],Andy Gibb,5WdF8jm3hBNi1t9qlqdjsE,45.0,track:(Love Is) Thicker Than Water artist:Andy Gibb,8.0,1977-09-09,(Love Is) Thicker Than Water,1978.0
5Iec810oL6PorbyBVjLnmD,['43ZHCT0cAZBISjO8DG9PnE'],Elvis Presley,1V3fmmv2zif98hsqvTsRyk,47.0,track:(Marie s the Name) His Latest Flame artist:Elvis Presley,71.0,1963-08-11,(Marie s the Name) His Latest Flame,1961.0
3Ru1PEQBFI88kBIWcPGGS8,['4YPqbAiLzBg5DIfsgQZ8QK'],Andy Gibb,1RsxUuB1Q5OdseLpHMBkEN,49.0,track:(Our Love) Don t Throw It All Away artist:Andy Gibb,58.0,1978-04-04,(Our Love) Don t Throw It All Away,1979.0
37Pc2bunlebU6GNBovFuGM,['3mQBpAOMWYqAZyxtyeo4Lo'],KC ,1q1pDAxWCQHvsEVZb1IPpP,22.0,"track:(Shake, Shake, Shake) Shake Your Booty artist:KC ",26.0,1976-01-01,"(Shake, Shake, Shake) Shake Your Booty",1976.0
3PL1HfKs7R6sDPw5Jd0lAf,['2ibPkysx2PXqWLmxFD7jSg'],Stray Cats,4d3EmY9wwhFYkDtInwgf9T,25.0,track:(She s) Sexy + 17 artist:Stray Cats,84.0,1983-08-05,(She s) Sexy + 17,1983.0
03HMOcANauhLD0WNrMkmLU,['60df5JBRRPcnSpsIMxxwQm'],Otis Redding,3zBhihYUHBmGd2bcQIobrF,75.0,track:(Sittin  On) The Dock of the Bay artist:Otis Redding,4.0,1968-01-01,(Sittin  On) The Dock of the Bay,1968.0
7lEOKZaOpqP70UYqdLPejG,['7nwUJBm0HE4ZxD3f5cy5ok'],Aretha Franklin,3lrSnngQqNWgvQmcFbCJCx,47.0,track:(Sweet Sweet Baby) Since You ve Been Gone artist:Aretha Franklin,46.0,1968-01-22,(Sweet Sweet Baby) Since You ve Been Gone,1968.0
3uQ4HJSTI6bxOEQTIZq8Uf,['3ap1NzHNV9QA1x1V6z3gSe'],Gene Pitney,2ZHxl0iAc5mwJFX6Y5TvRU,43.0,track:(The Man Who Shot) Liberty Valance artist:Gene Pitney,63.0,1972-01-01,(The Man Who Shot) Liberty Valance,1962.0
5OxSUascU31jcJ0TlP3xXc,['2JSjCHK79gdaiPWdKiNUNp'],Dionne Warwick,021O8Fvrww2EJB8220tgXo,36.0,track:(Theme from) Valley of the Dolls artist:Dionne Warwick,42.0,1968-01-01,(Theme from) Valley of the Dolls,1968.0
4rfNPJR54mFLPz6FzV2TI8,['6Sb8EHpZvyjSTT5KD9DjUZ'],Ronnie Milsap,2bRnP6FjtlASGsDtcgRVuI,53.0,track:(There s) No Gettin  Over Me artist:Ronnie Milsap,33.0,1981-08-01,(There s) No Gettin  Over Me,1981.0
0oKiP3tBFqJEook6yfBCoR,['2GaayiIs1kcyNqRXQuzp35'],The Carpenters,5JgDMH2jLvHzdNSr5Yzvj4,5.0,track:(They Long to Be) Close to You artist:The Carpenters,2.0,1974-01-01,(They Long to Be) Close to You,1970.0
5WSiEiH8BtgVil5xR2pYEX,['7peASGSN6FkIFQ3XjLfBtB'],Blues Magoos,6cQdZhnwKIeLud5qTD7BuQ,38.0,track:(We Ain t Got) Nothin  Yet artist:Blues Magoos,65.0,1966-01-01,(We Ain t Got) Nothin  Yet,1967.0
4LqKKEC8ghEvbMW2xcs4eZ,"['3Isy6kedDrgPYoTS1dazA9', '1vfezMIyCr4XUdYRaKIKi3']",Sean Paul  ,6k8uthjEbttfWXcGaNTQGD,48.0,track:(When You Gonna) Give It Up to Me artist:Sean Paul  ,37.0,2006-11-07,(When You Gonna) Give It Up to Me,2006.0
3iZ02t8Wkhp51QxieO0ErJ,['4sj6D0zlMOl25nprDJBiU9'],Andy Williams,45FLu3nL1iMYXYPzhqLdko,56.0,track:(Where Do I Begin?) Love Story artist:Andy Williams,72.0,1971-02-03,(Where Do I Begin?) Love Story,1971.0
4qgiPr8Wg6HpqtfZBzcKqt,['2JfVCMa3FlvQRlLT5uH9zb'],Nancy Wilson,4YkN3JlceD5n2aMqL1kFnH,51.0,track:(You Don t Know) How Glad I Am artist:Nancy Wilson,85.0,1964-01-01,(You Don t Know) How Glad I Am,1964.0
3F579i3hQByHOyqIQUa6fq,['03r4iKL2g2442PT9n2UKsx'],Beastie Boys,5ODVxUulyknEVXwjDaZpkp,8.0,track:(You Gotta) Fight for Your Right (To Party!) artist:Beastie Boys,98.0,1989-01-01,(You Gotta) Fight for Your Right (To Party!),1987.0
5CFmNamq1ceXn8RFJ9i7p6,['4b0WsB47XCa9F83BmwQ7WX'],The Righteous Brothers,5ZHOiRqKOzgFMfMAu8cwzp,48.0,track:(You re My) Soul and Inspiration artist:The Righteous Brothers,12.0,1990-01-01,(You re My) Soul and Inspiration,1966.0
3ufobt4J5vaT3z7lgUub6a,['43ZHCT0cAZBISjO8DG9PnE'],Elvis Presley,2hEwjc5DZVPcC4cVVBuMr5,55.0,track:(You re the) Devil in Disguise artist:Elvis Presley,58.0,1968-01-22,(You re the) Devil in Disguise,1963.0
5yekdvOvjZ0Zptw76gpL95,"['7ceUfdWq2t5nbatS6ollHh', '3UgUTRbDBLMcRCantpTWIe']",Paul Anka,5PuAFxKmqG72uKyoo11zpQ,53.0,track:(You re) Having My Baby artist:Paul Anka,28.0,1974-01-01,(You re) Having My Baby,1974.0
3IcnPxM10hCMb6W2gCapAY,['1vnIL4DMlivP55ioM6KitW'],Rita Coolidge,39iKJpLPhsDTOzH2lXliWF,48.0,track:(Your Love Has Lifted Me) Higher and Higher artist:Rita Coolidge,8.0,1977-03-01,(Your Love Has Lifted Me) Higher and Higher,1977.0
4OgYmImCWz3VK7At9GTWHN,['4VnomLtKTm9Ahe1tZfmZju'],Jackie Wilson,5qyq1H5OPMlfuvZQ1wQNo7,69.0,track:(Your Love Keeps Lifting Me) Higher and Higher artist:Jackie Wilson,53.0,1967-01-01,(Your Love Keeps Lifting Me) Higher and Higher,1967.0
3WNxdumkSMGMJRhEgK80qx,['26dSoYclwsYLMAKD3tpOr4'],Britney Spears,3MjUtNVVq3C8Fn0MP3zhXa,79.0,track:...Baby One More Time artist:Britney Spears,5.0,1999-01-12,...Baby One More Time,1999.0
5OkxLN5XaE9rLbgK2FuKBE,['3TVXtAsR1Inumwj472S9r4'],Drake,4jtyUzZm9WLc2AdaJ1dso7,72.0,track:0 to 100  artist:Drake,97.0,2013-07-14,0 to 100 ,2014.0
2PFK4dMZkqUQfxfSrK8WMf,['08rMCq2ek1YjdDBsCPVH2s'],Amerie,1mnqraQ8oV8MX92rdOFLWW,62.0,track:1 Thing artist:Amerie,67.0,2005-01-01,1 Thing,2005.0
71gUhKYZIWmmjqAHlY4Br3,"['2NdeV5rLm47xAvogXrYhJX', '2wIVse2owClT7go1WT98tk']",Ciara  ,7uKcScNXuO3MWw6LowBjW1,75.0,"track:1, 2 Step artist:Ciara  ",5.0,2004-09-27,"1, 2 Step",2005.0
0fYctMs4EvoEqzDh8Kmg5g,['3y24n3XhZ96wgwRXjvS17T'],Coolio,3aln8WgAUps6efYtdEYxP3,49.0,"track:1, 2, 3, 4 (Sumpin  New) artist:Coolio",40.0,1995-11-07,"1, 2, 3, 4 (Sumpin  New)",1996.0
7feXIxD7gPVP1FpFgO3JpZ,['17vIaBTHJOVxnU4v7t1DiY'],1910 Fruitgum Company,4fnvjQXs8y18X8br917ohs,30.0,"track:1, 2, 3, Red Light artist:1910 Fruitgum Company",48.0,1968-10-01,"1, 2, 3, Red Light",1968.0
1Hx9JuA0e9dAm5z6f0oNE6,['5IFCkqu9J6xdWeYMk5I889'],Gloria Estefan ,1pZWORSXTFlZnrfxChRBaz,38.0,track:1-2-3 artist:Gloria Estefan ,62.0,1984-01-01,1-2-3,1988.0
1HiN2YXZcc3EjmVZ4WjfBk,"['4xRYI6VqpkE3UwrDrAZL8L', '2wUjUUtkb5lvLKcGKsKqsR', '6LuN9FCkKOj5PcnpouEgny']",Logic  ,5tz69p7tJuGPeMGwNTxYuV,78.0,track:1-800-273-8255 artist:Logic  ,31.0,2017-05-05,1-800-273-8255,2017.0
1HiN2YXZcc3EjmVZ4WjfBk,"['4xRYI6VqpkE3UwrDrAZL8L', '2wUjUUtkb5lvLKcGKsKqsR', '6LuN9FCkKOj5PcnpouEgny']",Logic  ,5tz69p7tJuGPeMGwNTxYuV,78.0,track:1-800-273-8255 artist:Logic  ,84.0,2017-05-05,1-800-273-8255,2018.0
4ow6xJwn49gpWz7iHpOzWY,"['7z5WFjZAIYejWy0NI5lv4T', '1uNFoZAHBGtllmzznpCI3s']",Dan + Shay  ,2wrJq5XKLnmhRXHIAf9xBa,84.0,"track:10,000 Hours artist:Dan + Shay  ",23.0,2019-10-04,"10,000 Hours",2020.0
1QBU2iq38q3Y8PWlBhRFzk,['7FgMLbnZVrEnir95O0YujA'],Five for Fighting,5gBQ3x6u7DCvMW1QoP3CpG,38.0,track:100 Years artist:Five for Fighting,77.0,1997-01-01,100 Years,2004.0
3u9FnafwttOYXAz9fznSAg,['2sd9Q3r0Jhqpe3w9WVuG43'],Crystal Waters,0dfQwyoZoS9LgQiU6AJO7f,63.0,track:100% Pure Love artist:Crystal Waters,46.0,1998-08-11,100% Pure Love,1994.0
3u9FnafwttOYXAz9fznSAg,['2sd9Q3r0Jhqpe3w9WVuG43'],Crystal Waters,0dfQwyoZoS9LgQiU6AJO7f,63.0,track:100% Pure Love artist:Crystal Waters,82.0,1998-08-11,100% Pure Love,1995.0
0kSTuMp9GpX9pJR45Bksgi,['4opTS86dN9uO313J9CE8xg'],Skid Row,0qgrrDnUUhyxpxbBznUnzg,69.0,track:18 and Life artist:Skid Row,61.0,1989-01-24,18 and Life,1989.0
5HvSGPXR4k3PHspJrJTIqw,['0dlwjJe4kg9TgOMN184bJF'],Mark Wills,0ElpjZyX8YBiXuYcDC1Ci9,60.0,track:19 Somethin  artist:Mark Wills,84.0,2002-01-01,19 Somethin ,2003.0
55RhFRyQFihIyGf61MgcfV,['40Yq4vzPs9VNUrIBG5Jr2i'],The Smashing Pumpkins,5QLHGv0DfpeXLNFo7SFEy1,75.0,track:1979 artist:The Smashing Pumpkins,44.0,1995-01-01,1979,1996.0
34MHuXONazzgSxI0cThpAg,['5a2EaR3hamoenG9rDuVn8j'],Prince,2QSUyofqpGDCo026OPiTBQ,61.0,track:1999 artist:Prince,41.0,1982-10-27,1999,1983.0
2tiqjQAPpu7wgGfbskbhaw,['22bE4uQ6baNwSHPVcDxLCe'],The Rolling Stones,2o9diEapGbeXiiQM8yuksp,44.0,track:19th Nervous Breakdown artist:The Rolling Stones,54.0,1966-03-28,19th Nervous Breakdown,1966.0
3r25XjxAmLMOhOWoV6X8N9,['5spEJXLwD1sKUdC2bnOHPg'],Bone Thugs-n-Harmony,1dF5Y2dd7Wm4wZKvVjWBpr,66.0,track:1st of tha Month artist:Bone Thugs-n-Harmony,89.0,1995-07-25,1st of tha Month,1995.0
3x2jF7blR6bFHtk4MccsyJ,['0uq5PttqEjj3IH1bzwcrXF'],Spice Girls,36AWdhZIGLUTkWpJDhe7va,66.0,track:2 Become 1 artist:Spice Girls,35.0,1996-01-01,2 Become 1,1997.0
3yVwdmeRGYdzo4jlE11fGc,"['2rblp9fJo16ZPTcKDtlmKW', '6x6uPE0uEpYM8Se3v7kR3H']",Hammer,4ZnKSrukEcPuMxGrcZEEh1,51.0,track:2 Legit 2 Quit artist:Hammer,46.0,1991-01-01,2 Legit 2 Quit,1992.0
6zXUDBGLbrB9Kgkw2Y3F7L,"['0NIIxcxNHmOoyBx03SfTCD', '5IcR3N7QB1j6KBL8eImZ8m']",Tinashe  ,3jVtllWS5CFFWLQng8sKsr,71.0,track:2 On artist:Tinashe  ,65.0,2014-10-03,2 On,2014.0
5Hs43ta4vAYKRRRR7DKjt9,['1gPhS1zisyXr5dHTYZyiMe'],Kevin Gates,0wdKiSBUT7aZkXUIdJWcwC,70.0,track:2 Phones artist:Kevin Gates,57.0,2016-01-29,2 Phones,2016.0
5ZO72kl3xMRRzlpod55k1Q,['0PGtMx1bsqoCHCy3MB3gXA'],Unk,7beqVxFB2g7DlL09mvfjDv,48.0,track:2 Step artist:Unk,78.0,2006-10-03,2 Step,2007.0
1AHZd3C3S8m8fFrhFxyk79,['7oPftvlwr6VrsViSDV7fJY'],Green Day,64yrDBpcdwEdNY9loyEGbX,75.0,track:21 Guns artist:Green Day,78.0,2009-05-15,21 Guns,2009.0
4ycNE7y1rp5215g1kkqk1P,"['3q7HBObVc0L8jNeTe5Gofh', '1Oa0bMld0A3u5OTYfMzp5h']",50 Cent  ,41bIQPBE1lFN0mmw6Lmssz,70.0,track:21 Questions artist:50 Cent  ,14.0,2003-02-06,21 Questions,2003.0
1KlU96Hw9nlvqpBPlSqcTV,['06HL4z0CvFAxyc27GXpf02'],Taylor Swift,3bIxTsfeNMO7Nt2J3EUKrA,61.0,track:22 artist:Taylor Swift,71.0,2012-10-22,22,2013.0
5r7L8DlTsIKoDwSSiRf5M7,"['0NWbwDZY1VkRqFafuQm6wk', '5YGY8feqx7naU7z4HrwZM6', '137W8MRPWKqSmrBGDBFSop', '5gCRApTajqwbnHHPbr2Fpi']",Mike WiLL Made-It  ,20FZrLl9zSbO9b3DhaqO6M,69.0,track:23 artist:Mike WiLL Made-It  ,90.0,2013-01-01,23,2014.0
7Ib19b2niRjnzzoqJSBcxA,['3an8oUQQJYhvsqS59GQrqR'],Kevon Edmonds,4rZB2G955dQMcjlb7e3VNB,39.0,track:24 artist:Kevon Edmonds,92.0,1999-10-12,24,2000.0
4PgleR09JVnm3zY1fW3XBA,['0du5cEVh5yTK9QJze8zA0C'],Bruno Mars,6b8Be6ljOzmkOmFslEb23P,79.0,track:24K Magic artist:Bruno Mars,16.0,2016-11-17,24K Magic,2017.0
0PRgsdDXQ8QPaDUetVF7yN,['3iDD7bnsjL9J4fO298r0L0'],Chicago,7GqIDx2QVGOpd4r1fZaUUW,65.0,track:25 or 6 to 4 artist:Chicago,61.0,1970-01-26,25 or 6 to 4,1970.0
0abifmMtNdxgW7qPrCIYaU,['1UNVJFSDvwWjoRoQGDgorD'],The KLF,6Plvc2Me6ZjQuwfr2x0xYQ,16.0,track:3 a.m. Eternal artist:The KLF,61.0,2011-04-05,3 a.m. Eternal,1991.0
325wcm5wMnlfjmKZ8PXIIn,['26dSoYclwsYLMAKD3tpOr4'],Britney Spears,6pymOcrCnMuCWdgGVTvUgP,65.0,track:3 artist:Britney Spears,87.0,2009-11-09,3,2009.0
325wcm5wMnlfjmKZ8PXIIn,['26dSoYclwsYLMAKD3tpOr4'],Britney Spears,6pymOcrCnMuCWdgGVTvUgP,65.0,track:3 artist:Britney Spears,69.0,2009-11-09,3,2010.0
7jgBVzMVZuuhaTG5zQ0Vgk,"['6tbjWDEIzxoDsBA1FuhfPW', '31TPClRtHm23RisEBtV3X7', '5Y5TRrQiqgUO4S36tzjIRZ']",Madonna  ,1dDNz8h95Gsu0W4QdxVVln,55.0,track:4 Minutes artist:Madonna  ,23.0,2008-04-19,4 Minutes,2008.0
4zLchzG29ngh0MJgiy5GQx,['6O74knDqdv3XaWtkII7Xjp'],Boyz II Men,027tq4cWr0kRxLTfdxvM1L,46.0,track:4 Seasons of Loneliness artist:Boyz II Men,30.0,1997-03-23,4 Seasons of Loneliness,1997.0
4zLchzG29ngh0MJgiy5GQx,['6O74knDqdv3XaWtkII7Xjp'],Boyz II Men,027tq4cWr0kRxLTfdxvM1L,46.0,track:4 Seasons of Loneliness artist:Boyz II Men,96.0,1997-03-23,4 Seasons of Loneliness,1998.0
7rWNM4Q11nvmpHOuSnLFME,"['3aQeKQSyrW4qWr35idm0cy', '13saZpZnCDWOI9D4IJhp1f', '137W8MRPWKqSmrBGDBFSop']",T-Pain  ,42EMFjvFtOki8MA0JNZqVK,59.0,track:5 O Clock artist:T-Pain  ,86.0,2011-12-06,5 O Clock,2012.0
4A366gjTrYQwmRtkTezF2W,['2CvCyf1gEVhI0mX6aFXmVI'],Paul Simon,6Qb7gtV6Q4MnUjSbkFcopl,69.0,track:50 Ways to Leave Your Lover artist:Paul Simon,8.0,1975-10-25,50 Ways to Leave Your Lover,1976.0
5zseibu9WEsPaZmkJUMkz1,['3FUY2gzHeIiaesXtOAdB7A'],Train,2NniAhAtkRACaMeYt48xlD,67.0,track:50 Ways to Say Goodbye artist:Train,81.0,2012-04-17,50 Ways to Say Goodbye,2012.0
1uuSC0RCJB3dSp8Mb6GflZ,"['55Aa2cqylxrFIXC767Z865', '7BAaznGSsqcksud4R5ou5z']",Lil Wayne  ,0z5ZPs57J2KERwM1tBM2GF,71.0,track:6 Foot 7 Foot artist:Lil Wayne  ,41.0,2011-01-01,6 Foot 7 Foot,2011.0
1LOKp97Ow7Rn4Lo6I7JpTH,['0N5PyKJzS3M1XNlaCL7bbE'],Wilson Pickett,2gGPw8qbUilOhiSQRSvZG9,8.0,"track:634-5789 (Soulsville, U.S.A.) artist:Wilson Pickett",95.0,2017-11-24,"634-5789 (Soulsville, U.S.A.)",1966.0
0TyDTzG2zt2tg0wONT9wSU,"['6PXS4YHDkKvl1wkIl4V8DL', '2s0yxtiHiyGe6CY4mbDYFi']",Fetty Wap  ,5NQbUaeTEOGdD6hHcre0dZ,76.0,track:679 artist:Fetty Wap  ,21.0,2015-06-29,679,2015.0
0TyDTzG2zt2tg0wONT9wSU,"['6PXS4YHDkKvl1wkIl4V8DL', '2s0yxtiHiyGe6CY4mbDYFi']",Fetty Wap  ,5NQbUaeTEOGdD6hHcre0dZ,76.0,track:679 artist:Fetty Wap  ,54.0,2015-06-29,679,2016.0
5TedEgCbtmvDnXzUtXEFJY,['2JyWXPbkqI5ZJa3gwqVa0c'],Craig David,0gPQTLaqHDgdupKEok7J2x,70.0,track:7 Days artist:Craig David,52.0,2000-08-14,7 Days,2002.0
6sUzNE1SPNLBXBCZs3PIAO,['66CXWjxzNUsdJxJ2JdwvnR'],Ariana Gr,0nox76VxGYPIIIP7yr5I6o,52.0,track:7 Rings artist:Ariana Gr,7.0,2018-02-07,7 Rings,2019.0
0Yu3czJNOQ68fZgkvpjuHL,['5YGY8feqx7naU7z4HrwZM6'],Miley Cyrus,5ecZWU5uQOiCVSnPxBZNmT,64.0,track:7 Things artist:Miley Cyrus,92.0,2008-01-01,7 Things,2008.0
4rFrdkSWs0dtj0rWPzOk1v,['25u4wHJWxCA9vO0CzxAbK7'],Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,80.0,track:7 Years artist:Lukas Graham,12.0,2016-04-01,7 Years,2016.0
2UJwKSBUz6rtW4QLK74kQu,['6vWDO969PvNqNYHIOW5v0m'],Beyoncé,02M6vucOvmRfMxTXDUwRXu,71.0,track:7 artist:Beyoncé,61.0,2014-11-24,7,2015.0
5q8jywtY8AvpUVgzDJXyRp,"['5a2EaR3hamoenG9rDuVn8j', '1xtGjxE9c1YmEmFPCH6Izp']",Prince  ,1ESmMKaASDxFICpa5eyqzo,46.0,track:7 artist:Prince  ,52.0,1992-10-13,7,1993.0
4ObAmcbzEd8TlFg1ufvq2y,['1nSRa2YjjFWJLHGKM07oGQ'],Blaque,16sXnyBP4fKaR9RMmhDlla,9.0,track:808 artist:Blaque,50.0,1999-01-01,808,1999.0
7aks5lgwJAdiZLN51UjkU1,['1n2LWYgwtGp7EzDapUoniE'],Tommy Tutone,6iX1f3r7oUJnMbGgQ2gx1j,63.0,track:867-5309 artist:Tommy Tutone,16.0,1981-12-04,867-5309,1982.0
64Ky1tqKPfwxhJs6msphWd,['32vWCbZh0xZ4o9gkz4PsEU'],Dolly Parton,4w3tQBXhn5345eUXDGBWZG,76.0,track:9 To 5 artist:Dolly Parton,9.0,1980-01-01,9 To 5,1981.0
1Ka3HGMoNWvfPxwjsRXGpF,['3ZZHB1Xh2PM88QTMiqHB62'],? ,4v75K5mEyumdXCZU09kwAg,43.0,track:96 Tears artist:? ,2.0,1964-01-01,96 Tears,1966.0
